frame_id,timestamp,sofa_detected,centroid_x,centroid_y,frame_center_x,frame_center_y,offset_x,offset_y,centrado
1,1748443290.3097742,0,-1,-1,200,150,-1,-1,0
2,1748443290.5051668,1,218,100,200,150,18,-50,1
3,1748443290.7939472,1,218,102,200,150,18,-1,1
4,1748443291.2031293,1,218,102,200,150,18,-1,1
5,1748443291.6067324,1,219,104,200,150,19,-1,1
6,1748443291.9938416,1,220,104,200,150,20,-1,1
7,1748443292.3558834,1,222,104,200,150,22,-1,1
8,1748443292.7405343,1,225,104,200,150,25,-1,0
9,1748443293.129353,1,229,101,200,150,29,-1,0
10,1748443293.4864075,1,233,101,200,150,33,-1,0
11,1748443293.8539765,1,233,101,200,150,33,-1,0
12,1748443294.2834334,1,233,101,200,150,33,-1,0
13,1748443294.7210999,1,238,100,200,150,38,-1,0
14,1748443295.137186,1,245,99,200,150,45,-1,0
15,1748443295.5445209,1,237,100,200,150,37,-1,0
16,1748443295.9483588,0,-1,-1,200,150,-1,-1,0
17,1748443296.2918427,0,-1,-1,200,150,-1,-1,0
18,1748443296.6632414,1,157,102,200,150,-43,-1,0
19,1748443297.084707,1,141,102,200,150,-59,-1,0
20,1748443297.506635,1,146,102,200,150,-54,-1,0
21,1748443297.9157906,0,-1,-1,200,150,-1,-1,0
22,1748443298.2968602,0,-1,-1,200,150,-1,-1,0
23,1748443298.681321,1,267,102,200,150,67,-1,0
24,1748443299.0467234,0,-1,-1,200,150,-1,-1,0
25,1748443299.3600652,0,-1,-1,200,150,-1,-1,0
26,1748443299.719017,1,263,100,200,150,63,-1,0
27,1748443300.1007318,0,-1,-1,200,150,-1,-1,0
28,1748443300.4498215,0,-1,-1,200,150,-1,-1,0
29,1748443300.781328,1,246,102,200,150,46,-1,0
30,1748443301.152462,0,-1,-1,200,150,-1,-1,0
31,1748443301.5003874,0,-1,-1,200,150,-1,-1,0
32,1748443301.8291745,0,-1,-1,200,150,-1,-1,0
33,1748443302.1503162,0,-1,-1,200,150,-1,-1,0
34,1748443302.4864852,1,238,103,200,150,38,-1,0
35,1748443302.8371527,0,-1,-1,200,150,-1,-1,0
36,1748443303.1599975,0,-1,-1,200,150,-1,-1,0
37,1748443303.5018911,0,-1,-1,200,150,-1,-1,0
38,1748443303.8110235,0,-1,-1,200,150,-1,-1,0
39,1748443304.1293786,0,-1,-1,200,150,-1,-1,0
40,1748443304.44491,1,238,106,200,150,38,-1,0
41,1748443304.7916293,1,238,106,200,150,38,-1,0
42,1748443305.157806,1,238,106,200,150,38,-1,0
43,1748443305.5421526,1,239,107,200,150,39,-1,0
44,1748443305.9229012,0,-1,-1,200,150,-1,-1,0
45,1748443306.277753,0,-1,-1,200,150,-1,-1,0
46,1748443306.6229591,1,251,111,200,150,51,-1,0
47,1748443307.0309875,0,-1,-1,200,150,-1,-1,0
48,1748443307.3728545,1,197,110,200,150,-3,-1,1
49,1748443307.7243772,0,-1,-1,200,150,-1,-1,0
50,1748443308.0639074,1,210,115,200,150,10,-1,1
51,1748443308.4679332,1,211,110,200,150,11,-1,1
52,1748443308.8526604,0,-1,-1,200,150,-1,-1,0
53,1748443309.1901097,1,229,115,200,150,29,-1,0
54,1748443309.5779502,1,237,118,200,150,37,-1,0
55,1748443310.011104,1,243,117,200,150,43,-1,0
56,1748443310.4081922,0,-1,-1,200,150,-1,-1,0
57,1748443310.7918937,1,199,119,200,150,-1,-1,1
58,1748443311.1698139,1,166,120,200,150,-34,-1,0
59,1748443311.567215,1,158,119,200,150,-42,-1,0
60,1748443311.967138,1,166,121,200,150,-34,-1,0
61,1748443312.385879,1,183,121,200,150,-17,-1,1
62,1748443312.8346944,1,244,120,200,150,44,-1,0
63,1748443313.2255142,0,-1,-1,200,150,-1,-1,0
64,1748443313.5568593,1,286,119,200,150,86,-1,0
65,1748443313.959619,1,280,119,200,150,80,-1,0
66,1748443314.3419096,0,-1,-1,200,150,-1,-1,0
67,1748443314.6888022,0,-1,-1,200,150,-1,-1,0
68,1748443315.0484319,1,223,118,200,150,23,-1,1
69,1748443315.4365351,1,231,118,200,150,31,-1,0
70,1748443315.7994268,1,231,118,200,150,31,-1,0
71,1748443316.1434965,1,231,118,200,150,31,-1,0
72,1748443316.5720966,1,233,118,200,150,33,-1,0
73,1748443316.986194,1,240,118,200,150,40,-1,0
74,1748443317.3929782,1,248,118,200,150,48,-1,0
75,1748443317.7903578,1,232,118,200,150,32,-1,0
76,1748443318.1969507,1,197,118,200,150,-3,-1,1
77,1748443318.6428525,1,160,119,200,150,-40,-1,0
78,1748443319.0835865,1,127,121,200,150,-73,-1,0
79,1748443319.5186098,1,119,123,200,150,-81,-1,0
80,1748443319.9343257,1,171,124,200,150,-29,-1,0
81,1748443320.378797,0,-1,-1,200,150,-1,-1,0
82,1748443320.7529001,1,295,125,200,150,95,-1,0
83,1748443321.1612103,1,310,123,200,150,110,-1,0
84,1748443321.5605783,1,303,124,200,150,103,-1,0
85,1748443321.9592893,0,-1,-1,200,150,-1,-1,0
86,1748443322.2920473,0,-1,-1,200,150,-1,-1,0
87,1748443322.6242259,0,-1,-1,200,150,-1,-1,0
88,1748443323.0032275,0,-1,-1,200,150,-1,-1,0
89,1748443323.3525755,0,-1,-1,200,150,-1,-1,0
90,1748443323.7019782,1,252,120,200,150,52,-1,0
