frame,timestamp,modelo,clase,confianza,x1,y1,x2,y2,width,height,area
3,2025-06-08 12:35:16,parts,Front-door,0.5835038423538208,122,72,857,439,735,367,269745
4,2025-06-08 12:35:17,parts,Back-door,0.553957998752594,112,66,857,351,745,285,212325
6,2025-06-08 12:35:18,parts,Front-door,0.5036348700523376,149,66,887,355,738,289,213282
8,2025-06-08 12:35:20,parts,Back-door,0.5843322277069092,262,70,960,362,698,292,203816
11,2025-06-08 12:35:23,parts,Tail-light,0.5229175686836243,366,182,455,235,89,53,4717
13,2025-06-08 12:35:25,parts,Front-bumper,0.7015298008918762,125,15,813,347,688,332,228416
17,2025-06-08 12:35:29,parts,Front-bumper,0.7100221514701843,325,76,956,454,631,378,238518
17,2025-06-08 12:35:29,parts,Roof,0.6143360733985901,315,54,863,108,548,54,29592
18,2025-06-08 12:35:30,parts,Trunk,0.6636285185813904,375,92,960,462,585,370,216450
21,2025-06-08 12:35:31,parts,Front-bumper,0.7054868936538696,300,84,959,464,659,380,250420
22,2025-06-08 12:35:32,parts,Front-bumper,0.8564858436584473,329,87,960,463,631,376,237256
23,2025-06-08 12:35:33,parts,Front-bumper,0.7459008097648621,357,88,960,466,603,378,227934
