frame,timestamp,modelo,clase,confianza,x1,y1,x2,y2,width,height,area
4,2025-06-20 17:35:28,parts,Back-door,0.9217524528503418,81,0,459,308,378,308,116424
4,2025-06-20 17:35:28,parts,Back-wheel,0.9158729910850525,0,195,198,448,198,253,50094
4,2025-06-20 17:35:28,parts,Front-door,0.8542923927307129,430,0,835,310,405,310,125550
4,2025-06-20 17:35:28,parts,Front-wheel,0.8399632573127747,845,212,960,436,115,224,25760
4,2025-06-20 17:35:28,parts,Front-window,0.8100651502609253,394,2,761,69,367,67,24589
4,2025-06-20 17:35:28,parts,Fender,0.8053276538848877,815,63,958,316,143,253,36179
4,2025-06-20 17:35:28,parts,Quarter-panel,0.7713298797607422,0,9,258,301,258,292,75336
4,2025-06-20 17:35:28,parts,Back-window,0.5387495160102844,85,0,305,21,220,21,4620
5,2025-06-20 17:35:29,parts,Back-door,0.8900905847549438,91,0,465,300,374,300,112200
5,2025-06-20 17:35:29,parts,Front-wheel,0.8538424968719482,849,204,958,435,109,231,25179
5,2025-06-20 17:35:29,parts,Back-wheel,0.8254353404045105,0,178,198,429,198,251,49698
5,2025-06-20 17:35:29,parts,Fender,0.8191253542900085,815,32,958,308,143,276,39468
5,2025-06-20 17:35:29,parts,Front-door,0.8059371113777161,444,0,838,297,394,297,117018
5,2025-06-20 17:35:29,parts,Quarter-panel,0.752047061920166,0,8,248,318,248,310,76880
5,2025-06-20 17:35:29,defects,scratch,0.681784987449646,472,50,569,76,97,26,2522
6,2025-06-20 17:35:30,parts,Back-wheel,0.9038559198379517,0,176,200,431,200,255,51000
6,2025-06-20 17:35:30,parts,Back-door,0.886142909526825,93,0,476,298,383,298,114134
6,2025-06-20 17:35:30,parts,Front-door,0.8491365313529968,455,0,852,297,397,297,117909
6,2025-06-20 17:35:30,parts,Front-wheel,0.8313460946083069,864,197,959,447,95,250,23750
6,2025-06-20 17:35:30,parts,Fender,0.78292316198349,824,20,958,308,134,288,38592
6,2025-06-20 17:35:30,parts,Quarter-panel,0.7182828187942505,0,21,256,306,256,285,72960
7,2025-06-20 17:35:31,parts,Back-door,0.9135981798171997,121,0,503,312,382,312,119184
7,2025-06-20 17:35:31,parts,Back-wheel,0.9034297466278076,1,176,224,436,223,260,57980
7,2025-06-20 17:35:31,parts,Quarter-panel,0.8586620688438416,1,6,290,305,289,299,86411
7,2025-06-20 17:35:31,parts,Front-door,0.8292484283447266,486,0,885,292,399,292,116508
